business_id,labels
003sg, 2 3 5 6 8
00er5, 2 3 5 6 8
00kad, 2 3 5 6 8
00mc6, 2 3 5 6 8
00q7x, 2 3 5 6 8
00v0t, 2 3 5 6 8
00y7p, 2 3 5 6 8
019fg, 2 3 5 6 8
019r1, 2 3 5 6 8
01i5j, 2 3 5 6 8
01is9, 2 3 5 6 8
01mrb, 2 3 5 6 8
01pyb, 2 3 5 6 8
01s0p, 2 3 5 6 8
01xsq, 2 3 5 6 8
021oz, 2 3 5 6 8
026nc, 2 3 5 6 8
02bwy, 2 3 5 6 8
02d9t, 2 3 5 6 8
02eos, 2 3 5 6 8
02fio, 2 3 5 6 8
02pxt, 2 3 5 6 8
02qrp, 2 3 5 6 8
02rfd, 2 3 5 6 8
0357u, 2 3 5 6 8
035x6, 2 3 5 6 8
038l4, 2 3 5 6 8
03bbu, 2 3 5 6 8
03ked, 2 3 5 6 8
03m8y, 2 3 5 6 8
03vx8, 2 3 5 6 8
03yz9, 2 3 5 6 8
040nh, 2 3 5 6 8
042hy, 2 3 5 6 8
044sl, 2 3 5 6 8
045qe, 2 3 5 6 8
04944, 2 3 5 6 8
04cy7, 2 3 5 6 8
04ilw, 2 3 5 6 8
04imx, 2 3 5 6 8
04kgm, 2 3 5 6 8
04ud9, 2 3 5 6 8
04wn2, 2 3 5 6 8
04zgs, 2 3 5 6 8
050l6, 2 3 5 6 8
0573e, 2 3 5 6 8
057qc, 2 3 5 6 8
05fb2, 2 3 5 6 8
05h9r, 2 3 5 6 8
05ihx, 2 3 5 6 8
05jhx, 2 3 5 6 8
05rwc, 2 3 5 6 8
06cko, 2 3 5 6 8
06fzh, 2 3 5 6 8
06gbm, 2 3 5 6 8
06ml0, 2 3 5 6 8
06p0g, 2 3 5 6 8
06ums, 2 3 5 6 8
06vhp, 2 3 5 6 8
0707d, 2 3 5 6 8
070ll, 2 3 5 6 8
077lb, 2 3 5 6 8
07bbs, 2 3 5 6 8
07gmf, 2 3 5 6 8
07nri, 2 3 5 6 8
07o52, 2 3 5 6 8
084gg, 2 3 5 6 8
084v2, 2 3 5 6 8
08dzw, 2 3 5 6 8
08h8f, 2 3 5 6 8
08ni5, 2 3 5 6 8
08oeq, 2 3 5 6 8
